query,expected,output
Do you offer gift wrapping?,Yes. All pieces can be gift wrapped in tissue paper and placed in a kraft gift box with a ribbon. You can add a handwritten note at checkout. Gift wrapping is complimentary — there is no additional charge.,"Yes, I do! All pieces can be gift wrapped in tissue paper and placed in a kraft gift box with a ribbon. I can also add a handwritten note if you'd like. Best part, there's no extra charge for any of it."
Can I visit the studio?,Olivia opens her studio to visitors a few times a year for open studio events. These are announced on her website and social media. Private studio visits are occasionally possible by arrangement — if you are interested get in touch and she will let you know when the next opportunity is.,
Are your pieces food safe?,All glazes Olivia uses are food safe and non-toxic. Stoneware and porcelain pieces are fully food safe for everyday use. Earthenware pieces are also food safe but because of their porosity are better suited to dry foods or occasional use rather than daily contact with liquids over long periods.,Could you share the item name so I can pull the right details for you?
How do I know which pieces are in stock?,All pieces shown on the website are available unless marked otherwise. Because each piece is handmade stock is limited — once a piece sells out it may not be remade immediately. If you are interested in a piece that is out of stock get in touch and Olivia can let you know when it will next be available or whether a similar piece is possible as a commission.,"All pieces shown on the website are available unless marked otherwise. Because each piece is handmade stock is limited, once a piece sells out it may not be remade immediately. If you're interested in a piece that's out of stock, get in touch and I can let you know when it will next be available or whether a similar piece is possible as a commission."
Do you do wholesale?,Olivia does a small amount of wholesale with independent shops and galleries that share her values. If you are a stockist and interested in carrying her work please get in touch with details about your shop and she will get back to you.,
What happens if my order arrives damaged?,If a piece arrives damaged please take a photograph of the damage and the packaging as soon as you open it and email Olivia directly. She will review returns on a case by case basis and revert to you.,
What is your returns policy?,"Returns are reviewed on a case-by-case basis by Olivia personally. If you would like to request a return, please get in touch with your order details and the reason for your return — Olivia will review your request and get back to you with a decision. To start the process, she will need your order number, the item name, and a brief description of the issue or reason for returning. Every situation is different, and Olivia takes the time to consider each request individually to make sure it is handled fairly.","Hi there, thanks for asking! Returns are reviewed on a case-by-case basis by me personally. If you'd like to request a return, I'll need your order number, the item name, and a brief description of the issue or reason for returning. Every situation is different, and I take the time to consider each request individually to make sure it's handled fairly. What's prompting the return question, or do you have a specific piece you'd like to discuss?"
Tell me about the Spring collection,"The Spring collection was born on an early April morning when Olivia heard the first robin of the year singing outside her studio window. It is a collection about renewal — the quiet sounds and soft movements of the natural world waking up after winter. Each piece carries a water or birdsong reference in its form or texture. The Rain Song Vase is sculpted with rippled ridges that echo raindrops landing on a still pond at dawn. The Robin's Call Mug is hand-painted with a delicate robin silhouette on a matte sage glaze — earthy, gentle, alive. The Brook Whisper Bowl has a flowing wave rim that feels like water moving over smooth stones underfoot. The Spring collection suits people who love the outdoors, appreciate quiet mornings, and want their home to feel calm and grounded. It works beautifully in natural, earthy interiors — linen, wood, stone. Ideal for gifting to someone who loves nature, gardening, or mindful living. Pieces range from $42 to $68.","<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;margin-bottom:1rem;"">Hi there,

I created the Spring collection after hearing the first robin sing outside my studio one April morning, and it&#x27;s all about renewal, the quiet sounds of nature waking up after winter. Each piece carries a water or birdsong reference, like the Rain Song Vase with its rippled ridges that echo raindrops on a still pond, the Robin&#x27;s Call Mug hand-painted with a delicate robin on matte sage, and the Brook Whisper Bowl with a flowing wave rim like water moving over stones.

I designed these pieces for people who love the outdoors and quiet mornings, wanting their homes to feel calm and grounded. They work beautifully in natural, earthy spaces with linen and wood, and make thoughtful gifts for anyone who loves nature or mindful living. Pieces range from $42 to $68, so there&#x27;s something for every budget.

Warmly,
Olivia Babu</div>"
Tell me about the Fall collection,"The Fall collection is Olivia's most warmly received work. It was inspired by a walk through a maple forest in late October — the canopy ablaze in burnt sienna, amber, and deep gold. She wanted to capture that feeling of warmth before the cold arrives, the richness of colour that only exists for a few weeks each year. The Ember Glow Platter is the centrepiece — a large serving platter with a gradient glaze that sweeps from burnt sienna to deep amber, like looking up through autumn leaves at golden light. The Harvest Umber Mug has pressed real leaf impressions around the body, each one slightly different, filled with a warm chestnut glaze. The Copperleaf Vase is tall and slender with a reactive copper-oxide glaze that blooms russet and gold differently on every piece. The Fall collection suits warm, cosy interiors — think amber lighting, wool throws, wooden furniture. It is perfect for hosting — the platter especially is made for gatherings. A strong gifting collection for autumn birthdays, housewarmings, or anyone who loves the season. Pieces range from $48 to $95.","<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;margin-bottom:1rem;"">Hi there,

The Fall collection is my most warmly received work, inspired by a walk through a maple forest in late October when the canopy was ablaze in burnt sienna, amber, and deep gold. I wanted to capture that feeling of warmth before the cold arrives, the richness of colour that only exists for a few weeks each year. The Ember Glow Platter ($95) is the centrepiece, a large serving platter with a gradient glaze that sweeps from burnt sienna to deep amber, like looking up through autumn leaves at golden light. The Harvest Umber Mug ($48) has pressed real leaf impressions around the body, each one slightly different, filled with a warm chestnut glaze, and the Copperleaf Vase ($78) is tall and slender with a reactive copper-oxide glaze that blooms russet and gold differently on every piece.

This collection is perfect for warm, cosy interiors and especially made for hosting and gatherings. It&#x27;s a strong gifting collection for autumn birthdays, housewarmings, or anyone who loves the season.

Warmly,
Olivia Babu</div>"
Tell me about the Summer collection,"The Summer collection is the most joyful and colourful of Olivia's work. It was inspired by her memories of picking berries and eating stone fruit in her grandmother's garden as a child — the stained fingers, the sweetness, the abundance of colour in July and August. The Berry Blush Bowl has a vivid strawberry-red interior glaze with a stippled exterior that recalls sun-warmed berry skin. The Peach Dusk Pitcher moves from soft peach to blush in an ombré glaze with a ribbed handle — it was designed specifically for cold drinks, lemonade and sangria in mind. The Citrus Zest Plate is glossy lemon-yellow with hand-etched citrus slice motifs — cheerful, graphic, and functional. The Summer collection suits bright, light-filled spaces — white walls, rattan furniture, open kitchens. It is an ideal gift for someone who loves entertaining, cooking, or bringing colour into their home. Pieces range from $52 to $85.","<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;margin-bottom:1rem;"">Hi there,

The Summer collection is my most joyful and colourful work, inspired by childhood memories of picking berries and eating stone fruit in my grandmother&#x27;s garden, those stained fingers and the abundance of colour in July and August. Each piece tells that story, the Berry Blush Bowl with its vivid strawberry-red interior and stippled exterior that recalls sun-warmed berry skin, the Peach Dusk Pitcher moving from soft peach to blush in an ombré glaze, and the Citrus Zest Plate in glossy lemon-yellow with hand-etched citrus slice motifs. These pieces range from $52 to $85 and are perfect for bright, light-filled spaces, ideal if you love entertaining or bringing colour into your home.

Warmly,
Olivia Babu</div>"
